solution,cluster,cluster_rep,testcases_time,klee_time,cbmc_time
21.c,cluster4,13.c,0.194784,0.0,0.0
21.c,cluster3,17.c,0.12658699999999998,0.0,0.0
21.c,cluster6,18.c,0.161374,0.0,0.0
21.c,cluster2,12.c,0.127251,0.0,0.0
21.c,cluster5,16.c,0.105041,0.0,0.0
22.c,cluster1,15.c,0.13758299999999998,2.1105400000000003,0.0
22.c,cluster7,19.c,0.102834,0.0,0.0
22.c,cluster4,13.c,0.101552,0.0,0.0
22.c,cluster3,11.c,0.100037,0.0,0.0
22.c,cluster8,21.c,0.11125,0.0,0.0
22.c,cluster6,18.c,0.129814,0.0,0.0
22.c,cluster2,10.c,0.106504,0.0,0.0
22.c,cluster5,14.c,0.099152,0.0,0.0
23.c,cluster1,1.c,0.109767,1.146339,4.355664
24.c,cluster1,15.c,0.142836,1.636859,0.0
24.c,cluster9,22.c,0.114032,0.0,0.0
24.c,cluster7,20.c,0.103518,0.0,0.0
24.c,cluster4,13.c,0.184077,0.0,0.0
24.c,cluster3,11.c,0.103638,0.0,0.0
24.c,cluster8,21.c,0.106656,0.0,0.0
24.c,cluster6,18.c,0.140294,0.0,0.0
24.c,cluster2,10.c,0.141125,0.0,0.0
24.c,cluster5,16.c,0.102069,0.0,0.0
25.c,cluster1,1.c,0.134976,11.224614,0.0
25.c,cluster9,22.c,0.096535,0.0,0.0
25.c,cluster7,19.c,0.097474,0.0,0.0
25.c,cluster4,13.c,0.099649,10.77431,0.0
25.c,cluster3,17.c,0.098677,10.990352,0.0
25.c,cluster10,24.c,0.099541,0.0,0.0
25.c,cluster8,21.c,0.09990700000000001,0.0,0.0
25.c,cluster6,18.c,0.110715,2.170166,0.0
25.c,cluster2,12.c,0.10117000000000001,10.232289999999999,0.0
25.c,cluster5,14.c,0.119875,11.86391,0.0
